21.09.2018 открытие;21.09.2018 максимум;21.09.2018 минимум;21.09.2018 закрытие;23.10.2018 открытие;23.10.2018 максимум;23.10.2018 минимум;23.10.2018 закрытие;21.11.2018 открытие;21.11.2018 максимум;21.11.2018 минимум;21.11.2018 закрытие;04.12.2018 открытие;04.12.2018 максимум;04.12.2018 минимум;04.12.2018 закрытие
113200;113200;113140;113160;110610;110630;110540;110580;111830;111850;111800;111830;115760;115770;115700;115710
113160;113180;113140;113150;110580;110580;110520;110540;111840;111950;111830;111870;115710;115770;115700;115740
113150;113200;113150;113180;110550;110560;110440;110450;111870;111880;111780;111800;115730;115750;115680;115690
113170;113190;113140;113170;110450;110500;110410;110500;111790;111810;111740;111760;115690;115730;115660;115670
113180;113220;113170;113170;110500;110510;110430;110470;111760;111820;111640;111670;115670;115680;115630;115670
113170;113210;113170;113190;110470;110510;110460;110470;111660;111700;111620;111650;115660;115700;115620;115640
113180;113240;113160;113230;110470;110510;110450;110510;111650;111670;111620;111640;115650;115690;115630;115660
113230;113230;113170;113170;110510;110600;110510;110580;111640;111670;111600;111630;115660;115670;115590;115590
113180;113180;113030;113050;110580;110600;110500;110520;111630;111650;111610;111620;115590;115620;115570;115620
113060;113100;113030;113100;110520;110590;110500;110580;111620;111650;111540;111560;115610;115630;115560;115560
113110;113140;113090;113140;110580;110630;110570;110590;111560;111690;111560;111660;115570;115610;115550;115590
113140;113170;113100;113110;110590;110670;110580;110610;111660;111670;111590;111610;115600;115610;115560;115610
113110;113110;113070;113110;110610;110660;110570;110600;111630;111640;111600;111640;115600;115640;115590;115620
113120;113150;113090;113140;110600;110640;110560;110630;111640;111640;111550;111550;115620;115630;115560;115590
113140;113180;113130;113150;110610;110630;110500;110520;111560;111590;111490;111500;115590;115610;115510;115530
113160;113160;113100;113150;110510;110550;110500;110510;111520;111610;111500;111570;115540;115580;115530;115550
113140;113140;113090;113090;110500;110530;110360;110390;111580;111580;111520;111550;115550;115570;115520;115530
113090;113130;113080;113080;110400;110460;110390;110390;111540;111540;111420;111440;115530;115540;115450;115480
113080;113120;113050;113090;110400;110450;110330;110340;111430;111450;111390;111440;115470;115510;115460;115480
113100;113110;112930;112960;110340;110440;110310;110440;111430;111450;111370;111440;115470;115520;115460;115520
112940;113020;112910;112990;110450;110650;110450;110640;111430;111520;111420;111500;115530;115540;115470;115500
112990;113050;112980;113030;110650;110680;110620;110630;111490;111510;111360;111360;115500;115510;115470;115500
113020;113060;113000;113040;110620;110660;110590;110590;111360;111430;111360;111430;115500;115500;115460;115470
113030;113050;113000;113020;110590;110600;110510;110510;111420;111500;111390;111500;115470;115500;115430;115480
113050;113070;113020;113020;110520;110530;110410;110430;111490;111500;111430;111480;115480;115490;115420;115470
113020;113090;113000;113040;110440;110440;110220;110260;111480;111500;111450;111480;115470;115490;115430;115460
113030;113030;113000;113030;110270;110350;110250;110330;111470;111530;111460;111490;115460;115490;115420;115430
113020;113090;113010;113060;110330;110380;110230;110310;111500;111530;111480;111490;115440;115460;115420;115460
113060;113110;113050;113070;110280;110300;110130;110140;111510;111550;111500;111540;115440;115490;115440;115470
113080;113100;113040;113040;110140;110250;110110;110230;111530;111550;111400;111470;115470;115580;115470;115540
113040;113080;113040;113060;110220;110230;110160;110180;111470;111490;111440;111440;115530;115580;115510;115530
113050;113050;112950;112990;110180;110230;110150;110160;111450;111480;111420;111470;115530;115530;115480;115500
112990;113050;112990;113020;110160;110220;110150;110210;111470;111530;111450;111480;115490;115520;115460;115470
113020;113040;113000;113030;110200;110230;110180;110230;111480;111530;111440;111520;115480;115500;115460;115470
113030;113060;112980;112980;110230;110230;110180;110200;111510;111590;111470;111490;115470;115500;115420;115450
112980;113020;112980;113020;110180;110200;110120;110140;111500;111570;111490;111540;115470;115560;115460;115520
113030;113060;113010;113010;110130;110180;110130;110150;111560;111680;111550;111580;115530;115540;115420;115480
113020;113020;112940;112950;110160;110310;110150;110290;111590;111660;111580;111620;115480;115480;115370;115380
112960;112970;112930;112940;110310;110380;110300;110350;111610;111620;111530;111560;115380;115480;115370;115460
112930;112980;112930;112970;110340;110340;110270;110300;111550;111570;111520;111530;115470;115510;115420;115420
